Tªn yÕu quyÕt	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u2	L­u3	L­u4	L­u5	L­u6	L­u7	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)8	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)9	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)10	Column11
Hèng L«i Phï quyÕt	2	6	176	1	1	1	176	8	1024									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Hèng L«i Phï quyÕt<color><enter>KhiÕn vâ c«ng môc tiªu trong thêi gian 10 gi©y gi·n c¸ch sö dông kĞo dµi [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Cang Phong quyÕt	2	6	177	1	1	1	177	9	1026									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Cang Phong quyÕt<color><enter>KhiÕn lùc c«ng ngo¹i c«ng cña môc tiªu trong 10 gi©y gi¶m [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
B¹o L«i Phï quyÕt	2	6	178	1	1	1	178	10	1027									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>B¹o L«i Phï quyÕt<color><enter>X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> TÊn c«ng néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Tiªu Phong L­u T¸n quyÕt	2	6	179	1	1	1	179	11	1028									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Tiªu Phong L­u T¸n quyÕt<color><enter>Khi sinh lùc d­íi 35%<enter>tû lÖ phßng ngù ngo¹i c«ng t¨ng [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Ngò L«i Chİnh Ph¸p quyÕt	2	6	180	1	1	1	180	12	1029									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Ngò L«i Chİnh Ph¸p quyÕt<color><enter>Gi·n c¸ch sö dông rót ng¾n [<color=Gold>36<color=White>] gi©y <color=Blue1>x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
V¹n L«i To¸i Tinh quyÕt	2	6	181	1	1	1	181	13	1030									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>V¹n L«i To¸i Tinh quyÕt<color><enter>X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> TÊn c«ng néi c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
HuyÒn Phong TriÒn ı quyÕt	2	6	182	1	1	1	182	14	1031									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>HuyÒn Phong TriÒn ı quyÕt<color><enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Th¸nh Háa §ao Ph¸p quyÕt	2	6	183	1	1	1	183	1	1054									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Th¸nh Háa §ao Ph¸p quyÕt<color><enter>[<color=Gold>75<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch  Tû lÖ C«ng kİch th­êng xong phôc håi 1 «Né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Kim L­ Hé ThÓ quyÕt	2	6	184	1	1	1	184	2	1055									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Kim L­ Hé ThÓ quyÕt<color><enter>100% Sau khi nhËn ®­îc c«ng kİch 3s n©ng cao ®¸nh ngo¹i c«ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
LiÖt Diªm Tr¶m quyÕt	2	6	185	1	1	1	185	3	1056									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>LiÖt Diªm Tr¶m quyÕt<color><enter>Gi¶m tû lÖ phßng ngù ngo¹i c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Sİ Diªm Kİch quyÕt	2	6	186	1	1	1	186	4	1057									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Sİ Diªm Kİch quyÕt<color><enter>C«ng kİch th­êng cã [<color=Gold>50<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî:  Tû lÖ lµm cho môc tiªu Gi¶m tèc[<color=Gold>35<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî: Duy tr× 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Thiªn KiÕp PhÇn quyÕt	2	6	187	1	1	1	187	5	1058									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thiªn KiÕp PhÇn quyÕt<color><enter>C«ng kİch lµm néi lùc kÎ thï gi¶m [<color=Gold>5<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Ng­ng Háa Bİch quyÕt	2	6	188	1	1	1	188	6	1059									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Ng­ng Háa Bİch quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>20<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî phßng thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Cuång DiÖm B«n quyÕt	2	6	189	1	1	1	189	7	1060									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Cuång DiÖm B«n quyÕt<color><enter>[<color=Gold>100<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch, Tû lÖ trong qu¸ tr×nh xung kİch nhËn ®­îc Tr¹ng th¸i miÔn dŞch		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Chİch Phong Toµn quyÕt	2	6	190	1	1	1	190	8	1061									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Chİch Phong Toµn quyÕt<color><enter>TuyÒn Phong c«ng kİch ph¹m vi réng [<color=Gold>9<color=White>]«<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
B¸ Hoµng §o¹n quyÕt	2	6	191	1	1	1	191	9	1062									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>B¸ Hoµng §o¹n quyÕt<color><enter>Cã [<color=Gold>10<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch  Tû lÖ hoµn toµn bá qua nĞ tr¸nh cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Khİ Hãa Du Long quyÕt	2	6	192	1	1	1	192	10	1063									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Khİ Hãa Du Long quyÕt<color><enter>N©ng cao tû lÖ v« hiÖu kİch lui [<color=Gold>50<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî: 		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
D­¬ng Diªm B¹o quyÕt	2	6	193	1	1	1	193	11	1064									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>D­¬ng Diªm B¹o quyÕt<color><enter>Thªm s¸t th­¬ng c«ng kİch[<color=Gold>1000<color=White>]%<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
B¹o S¸t KiÕp quyÕt	2	6	194	1	1	1	194	12	1065									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>B¹o S¸t KiÕp quyÕt<color><enter>Tû lÖ xuÊt chiªu tÊt c¶ kÜ n¨ng b¶n th©n t¨ng [<color=Gold>10%<color=White>]<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch  Duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		25	999	
Quang Minh Bót Ph¸p quyÕt	2	6	195	1	1	1	195	1	1084									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Quang Minh Bót Ph¸p quyÕt<color><enter>§iÓm chİnh x¸c vÜnh viÔn t¨ng [<color=Gold>10%<color=White>]<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		26	999	
Kim Táa TrËn quyÕt	2	6	196	1	1	1	196	2	1085									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Kim Táa TrËn quyÕt<color><enter>X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> mËt tŞch hç tr¬ tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
YÕn Kú LÖnh quyÕt	2	6	197	1	1	1	197	3	1086									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>YÕn Kú LÖnh quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>5<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
HuyÒn Thñy TrËn quyÕt	2	6	198	1	1	1	198	4	1087									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>HuyÒn Thñy TrËn quyÕt<color><enter>X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> mËt tŞch hç tr¬ tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Phong Binh LÖnh quyÕt	2	6	199	1	1	1	199	5	1088									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Phong Binh LÖnh quyÕt<color><enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Bµn Méc TrËn quyÕt	2	6	200	1	1	1	200	6	1089									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Bµn Méc TrËn quyÕt<color><enter>X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> mËt tŞch hç tr¬ tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
TÊn ¶nh LÖnh quyÕt	2	6	201	1	1	1	201	7	1090									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>TÊn ¶nh LÖnh quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>45<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî phßng thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Cµn Kh«n NghŞ ChuyÓn quyÕt	2	6	202	1	1	1	202	8	1091									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Cµn Kh«n NghŞ ChuyÓn quyÕt<color><enter>Sau khi ®æi lµm cho tèc ®é di chuyÓn môc tiªu gi¶m [<color=Gold>10%<color=White>]<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		26	999	
NghiÖp Háa TrËn quyÕt	2	6	203	1	1	1	203	9	1092									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>NghiÖp Háa TrËn quyÕt<color><enter>XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Thæ Lao TrËn quyÕt	2	6	204	1	1	1	204	10	1093									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Thæ Lao TrËn quyÕt<color><enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Ngò Linh T¸n Nguyªn quyÕt	2	6	205	1	1	1	205	11	1094									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Ngò Linh T¸n Nguyªn quyÕt<color><enter>XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Ngò Linh Quy Nguyªn quyÕt	2	6	206	1	1	1	206	12	1095									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Ngò Linh Quy Nguyªn quyÕt<color><enter>N©ng cao tû lÖ phßng ngù néi ngo¹i c«ng t¨ng  [<color=Gold>5<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî: 		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
§o¹n Cèt Tr¶o quyÕt	2	6	207	1	1	1	207	1	1132									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>§o¹n Cèt Tr¶o quyÕt<color><enter>Ph¹m vi xuÊt chiªu më réng [<color=Gold>150<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch t¨ng c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Phï Th­¬ng Ên quyÕt	2	6	208	1	1	1	208	2	1133									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Phï Th­¬ng Ên quyÕt<color><enter>Lµm cho môc tiªu trong 3 gi©y cã tèc ®é di chuyÓn gi¶m [<color=Gold>40<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch t¨ng c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Thanh Dùc Bé Ph¸p quyÕt	2	6	209	1	1	1	209	3	1134									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thanh Dùc Bé Ph¸p quyÕt<color><enter>[<color=Gold>75<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî: Tû lÖ sau khi sö dông cã tèc ®é di chuyÓn b¶n th©n t¨ng 40%, Duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Bµng HuyÕt Ên quyÕt	2	6	210	1	1	1	210	4	1135									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Bµng HuyÕt Ên quyÕt<color><enter>X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> TÊn c«ng néi c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
KhÊp HuyÕt Ên quyÕt	2	6	211	1	1	1	211	5	1136									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>KhÊp HuyÕt Ên quyÕt<color><enter>Sinh lùc giíi h¹n t¨ng lªn vÜnh viªn [<color=Gold>15<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch t¨ng c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Hµn HuyÕt Ên quyÕt	2	6	212	1	1	1	212	6	1137									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Hµn HuyÕt Ên quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>20<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Xİch Cèt Ên quyÕt	2	6	213	1	1	1	213	7	1138									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Xİch Cèt Ên quyÕt<color><enter>Lùc c«ng kİch néi c«ng c¬ b¶n n©ng cao  [<color=Gold>10<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Truy Hån Ên quyÕt	2	6	214	1	1	1	214	8	1139									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Truy Hån Ên quyÕt<color><enter>Thªm s¸t th­¬ng c«ng kİch[<color=Gold>1000<color=White>]%<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng néi c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
S¸t Kinh Trao quyÕt	2	6	215	1	1	1	215	9	1140									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>S¸t Kinh Trao quyÕt<color><enter>Gi¶m tû lÖ phßng ngù néi c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> MËt tŞch hç trî tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Hµn B¨ng HuyÕt Ch­¬ng quyÕt	2	6	216	1	1	1	216	10	1141									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Hµn B¨ng HuyÕt Ch­¬ng quyÕt<color><enter>§iÓm nĞ tr¸nh t¨ng [<color=Gold>500<color=White>]%<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî phßng thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Hãa HuyÕt Ên quyÕt	2	6	217	1	1	1	217	11	1142									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Hãa HuyÕt Ên quyÕt<color><enter>X¸c suÊt chèng hçn lo¹n[<color=Gold>45<color=White>]%<color=Blue1>x<color=White> MËt tŞch hç trî phßng ngù t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
VËn Th­¬ng Ên quyÕt	2	6	218	1	1	1	218	12	1143									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>VËn Th­¬ng Ên quyÕt<color><enter>Tiªu hao sinh lùc b¶n th©n gi¶m  [<color=Gold>50<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch  t¨ng c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Khëi Vò quyÕt	2	6	219	1	1	1	219	1	1166									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Khëi Vò quyÕt<color><enter>ë tr¹ng th¸i Khëi Vò tû lÖ móa bŞ gi¸n ®o¹n gi¶m [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
Linh Miªu VËn quyÕt	2	6	220	1	1	1	220	2	1167									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Linh Miªu VËn quyÕt<color><enter>T¨ng s¸t th­¬ng Linh Miªu VËn ®èi víi qu¸i [<color=Gold>150<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
Vò V©n T©m Ph¸p quyÕt	2	6	221	1	1	1	221	3	1168									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Vò V©n T©m Ph¸p quyÕt<color><enter>ë tr¹ng th¸i Khëi Vò [<color=Gold>50<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù, ®¸nh lui, ®¸nh ng·		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
MŞ Hoa quyÕt	2	6	222	1	1	1	222	4	1169									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>MŞ Hoa quyÕt<color><enter>Gi¶m thêi gian gi·n c¸ch  [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
§o¹n V©n quyÕt	2	6	223	1	1	1	223	5	1170									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>§o¹n V©n quyÕt<color><enter>Gi¶m thêi gian gi·n c¸ch [<color=Gold>4<color=White>] gi©y <color=Blue1>x<color=White> Hç trî phßng ngù mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
Thu NguyÖt Vò quyÕt	2	6	224	1	1	1	224	6	1171									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thu NguyÖt Vò quyÕt<color><enter>KhiÕn phßng ngù ngo¹i c«ng môc tiªu gi¶m [<color=Gold>350<color=White>]<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
Thiªn L¹i T©m Kinh quyÕt	2	6	225	1	1	1	225	7	1172									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thiªn L¹i T©m Kinh quyÕt<color><enter>Tû lÖ miÔn dŞch lµm chËm [<color=Gold>100<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
§iÖp Uyªn quyÕt	2	6	226	1	1	1	226	8	1173									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>§iÖp Uyªn quyÕt<color><enter>[<color=Gold>20<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng, khiÕn kÎ thï ®Şnh th©n 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
Thiªn Háa DiÖm D­¬ng quyÕt	2	6	227	1	1	1	227	9	1174									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Thiªn Háa DiÖm D­¬ng quyÕt<color><enter>T¨ng chİnh x¸c phe ta [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
§¹p V©n X¶o Bé quyÕt	2	6	228	1	1	1	228	10	1175									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>§¹p V©n X¶o Bé quyÕt<color><enter>[<color=Gold>75<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù, khi sö dông cã tû lÖ t¨ng tèc ®é di chuyÓn b¶n th©n [<color=Gold>40<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
Méng Xµ quyÕt	2	6	229	1	1	1	229	11	1176									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Méng Xµ quyÕt<color><enter>Méng Xµ t¨ng lùc c«ng ngo¹i c«ng b¶n th©n [<color=Gold>100<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng, ®ång thêi khiÕn b¶n th©n vµo tr¹ng th¸i ®Şnh th©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
L¹c Hoa quyÕt	2	6	230	1	1	1	230	1	1219									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>L¹c Hoa quyÕt<color><enter>§ßn cuèi cïng kÌm theo s¸t th­¬ng ®éc duy tr× 10 gi©y [<color=Gold>100<color=White>] ®iÓm <color=Blue1>x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
§µo Hoa Ch­¬ng quyÕt	2	6	231	1	1	1	231	2	1220									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>§µo Hoa Ch­¬ng quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
B¸ch Hoa T©m Kinh quyÕt	2	6	232	1	1	1	232	3	1221									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>B¸ch Hoa T©m Kinh quyÕt<color><enter>Gi¶m thêi gian gi·n c¸ch  [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Táa T©m quyÕt	2	6	233	1	1	1	233	4	1222									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Táa T©m quyÕt<color><enter>Gi¶m tû lÖ phßng ngù ngo¹i c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Hoµn ThÇn ThuËt quyÕt	2	6	234	1	1	1	234	5	1223									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Hoµn ThÇn ThuËt quyÕt<color><enter>Mçi 1/2 gi©y håi phôc sinh lùc [<color=Gold>100<color=White>]<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù<enter>duy tr× 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Linh §éng quyÕt	2	6	235	1	1	1	235	6	1224									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Linh §éng quyÕt<color><enter>Thêi gian duy tr× ®Şnh th©n, gi¶m tèc rót ng¾n [<color=Gold>50<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
