Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
Quang Chiªu LiÖt Vò Kh«i	0	103	32129	30	40000	0	200	46;46					32112	90	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_021a1.spr	\image\item\cap\m1_hd_021a0.spr	<color=gold>Quang Chiªu LiÖt Vò Kh«i<color><enter>LiÖt Vò Quang Chiªu (Cã thÓ dïng H¹n Vò Tinh trïng luyÖn)	±ê×¼ÄÐÍ·²¿004	M·o		12	1	1	31	0	999																																																																						
Quang Chiªu LiÖt Vò Kh«i	0	103	32130	30	40000	0	200	46;46					32113	90	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_021a1.spr	\image\item\cap\m2_hd_021a0.spr	<color=gold>Quang Chiªu LiÖt Vò Kh«i<color><enter>LiÖt Vò Quang Chiªu (Cã thÓ dïng H¹n Vò Tinh trïng luyÖn)	¿ýÎàÄÐÍ·²¿013	M·o		12	1	1	31	0	999																																																																						
Quang Chiªu LiÖt Vò Tr©m	0	103	32131	30	40000	0	200	46;46					32114	90	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_021a1.spr	\image\item\cap\f1_hd_021a0.spr	<color=gold>Quang Chiªu LiÖt Vò Tr©m<color><enter>LiÖt Vò Quang Chiªu (Cã thÓ dïng H¹n Vò Tinh trïng luyÖn)	ÐÔ¸ÐÅ®Í·²¿004	M·o		12	1	1	31	0	999																																																																						
Quang Chiªu LiÖt Vò Tr©m	0	103	32132	30	40000	0	200	46;46					32115	90	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_021a1.spr	\image\item\cap\f2_hd_021a0.spr	<color=gold>Quang Chiªu LiÖt Vò Tr©m<color><enter>LiÖt Vò Quang Chiªu (Cã thÓ dïng H¹n Vò Tinh trïng luyÖn)	½¿Ð¡Å®Í·²¿013	M·o		12	1	1	31	0	999																																																																						
Quang Chiªu LiÖt Vò Kh«i	0	103	32133	30	40000	0	200	46;46					32116	90	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_021a1.spr	\image\item\cap\m1_hd_021a0.spr	<color=gold>Quang Chiªu LiÖt Vò Kh«i<color><enter>LiÖt Vò Quang Chiªu (Cã thÓ dïng H¹n Vò Tinh trïng luyÖn)	±ê×¼ÄÐÍ·²¿004	M·o		12	1	1	32	0	999																																																																						
Quang Chiªu LiÖt Vò Kh«i	0	103	32134	30	40000	0	200	46;46					32117	90	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_021a1.spr	\image\item\cap\m2_hd_021a0.spr	<color=gold>Quang Chiªu LiÖt Vò Kh«i<color><enter>LiÖt Vò Quang Chiªu (Cã thÓ dïng H¹n Vò Tinh trïng luyÖn)	¿ýÎàÄÐÍ·²¿013	M·o		12	1	1	32	0	999																																																																						
Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n	0	103	32135	30	100	0	200	46;46					32118	80	1	1		\image\item\cap\m1_hd_018a1.spr	\image\item\cap\m1_hd_018a0.spr	<color=gold>Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n<color><enter>?o thÝch kh¸ch, thÓ hiÖn tinh thÇn hiÖp nghÜa.	±ê×¼ÄÐÍ·²¿004	M·o		12	0	1	31	0	999																																																																						
Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n	0	103	32136	30	100	0	200	46;46					32119	80	1	2		\image\item\cap\m2_hd_018a1.spr	\image\item\cap\m2_hd_018a0.spr	<color=gold>Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n<color><enter>?o thÝch kh¸ch, thÓ hiÖn tinh thÇn hiÖp nghÜa.	¿ýÎàÄÐÍ·²¿013	M·o		12	0	1	31	0	999																																																																						
Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n	0	103	32137	30	100	0	200	46;46					32120	80	2	3		\image\item\cap\f2_hd_018a1.spr	\image\item\cap\f2_hd_018a0.spr	<color=gold>Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n<color><enter>?o thÝch kh¸ch, thÓ hiÖn tinh thÇn hiÖp nghÜa.	ÐÔ¸ÐÅ®Í·²¿004	M·o		12	0	1	31	0	999																																																																						
Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n	0	103	32138	30	100	0	200	46;46					32121	80	2	4		\image\item\cap\f1_hd_018a1.spr	\image\item\cap\f1_hd_018a0.spr	<color=gold>Tµm ¢n Kh¸ch-Tr¶m Y Qu¸n<color><enter>?o thÝch kh¸ch, thÓ hiÖn tinh thÇn hiÖp nghÜa.	½¿Ð¡Å®Í·²¿013	M·o		12	0	1	31	0	999																																																																						
C¸n KiÕm Ch©n Nh©n-Ngù T©m Qu¸n	0	103	32139	30	100	0	200	46;46					32122	80	1	1		\image\item\cap\m1_hd_019a1.spr	\image\item\cap\m1_hd_019a0.spr	<color=gold>C¸n KiÕm Ch©n Nh©n-Ngù T©m Qu¸n<color><enter>?o tu tiªn, thuËn theo tù nhiªn.	±ê×¼ÄÐÍ·²¿004	M·o		12	0	1	32	0	999																																																																						
C¸n KiÕm Ch©n Nh©n-Ngù T©m Qu¸n	0	103	32140	30	100	0	200	46;46					32123	80	1	2		\image\item\cap\m2_hd_019a1.spr	\image\item\cap\m2_hd_019a0.spr	<color=gold>C¸n KiÕm Ch©n Nh©n-Ngù T©m Qu¸n<color><enter>?o tu tiªn, thuËn theo tù nhiªn.	¿ýÎàÄÐÍ·²¿013	M·o		12	0	1	32	0	999																																																																						
Phông Minh Kh«i	0	103	32141	30	40000	0	200	46;46					32124	92	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	±ê×¼ÄÐÍ·²¿004	M·o		13	1	1	31	0	999																																																																						
Phông Minh Kh«i	0	103	32142	30	40000	0	200	46;46					32125	92	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	¿ýÎàÄÐÍ·²¿013	M·o		13	1	1	31	0	999																																																																						
Phông Minh Tr©m	0	103	32143	30	40000	0	200	46;46					32126	92	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a0.spr	<color=gold>Phông Minh Tr©m<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	ÐÔ¸ÐÅ®Í·²¿004	M·o		13	1	1	31	0	999																																																																						
Phông Minh Tr©m	0	103	32144	30	40000	0	200	46;46					32127	92	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a0.spr	<color=gold>Phông Minh Tr©m<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	½¿Ð¡Å®Í·²¿013	M·o		13	1	1	31	0	999																																																																						
Phông Minh Kh«i	0	103	32145	30	40000	0	200	46;46					32128	92	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	±ê×¼ÄÐÍ·²¿004	M·o		13	1	1	32	0	999																																																																						
Phông Minh Kh«i	0	103	32146	30	40000	0	200	46;46					32129	92	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	¿ýÎàÄÐÍ·²¿013	M·o		13	1	1	32	0	999																																																																						
§«ng Hoµng Phông Minh Kh«i	0	103	32147	30	40000	0	200	71;71					32124	92	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>§«ng Hoµng Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	±ê×¼ÄÐÍ·²¿004	M·o		14	1	1	31	0	999																																																																						
§«ng Hoµng Phông Minh Kh«i	0	103	32148	30	40000	0	200	71;71					32125	92	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>§«ng Hoµng Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	¿ýÎàÄÐÍ·²¿013	M·o		14	1	1	31	0	999																																																																						
§«ng Hoµng Phông Minh Tr©m	0	103	32149	30	40000	0	200	71;71					32126	92	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a0.spr	<color=gold>§«ng Hoµng Phông Minh Tr©m<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	ÐÔ¸ÐÅ®Í·²¿004	M·o		14	1	1	31	0	999																																																																						
§«ng Hoµng Phông Minh Tr©m	0	103	32150	30	40000	0	200	71;71					32127	92	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·Å®a0.spr	<color=gold>§«ng Hoµng Phông Minh Tr©m<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	½¿Ð¡Å®Í·²¿013	M·o		14	1	1	31	0	999																																																																						
§«ng Hoµng Phông Minh Kh«i	0	103	32151	30	40000	0	200	71;71					32128	92	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>§«ng Hoµng Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	±ê×¼ÄÐÍ·²¿004	M·o		14	1	1	32	0	999																																																																						
§«ng Hoµng Phông Minh Kh«i	0	103	32152	30	40000	0	200	71;71					32129	92	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¶«»Ê·ïÃùÍ·a1.spr	\image\item\cap\¶«»Ê·ïÃùÍ·a0.spr	<color=gold>§«ng Hoµng Phông Minh Kh«i<color><enter>Ngµy lµnh th¸ng tèt, lÔ tÕ thÇn hoµng.	¿ýÎàÄÐÍ·²¿013	M·o		14	1	1	32	0	999																																																																						
Tèng_Háa Phông T­íng Qu©n Kh«i	0	103	32153	30	40000	0	360	46;46					32231	690			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Háa Phông T­íng Qu©n Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	32154	30	40000	0	360	46;46					32233	690			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	32155	30	40000	0	360	46;46					32235	690			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Háa Phông T­íng Qu©n Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Liªu_Háa Phông Nguyªn So¸i Kh«i	0	103	32156	30	40000	0	360	46;46					32237	690			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Tèng_Thanh Long T­íng Qu©n §Çu	0	103	32157	30	40000	0	360	46;46					32239	790			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Thanh Long T­íng Qu©n §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Tèng_Thanh Long Nguyªn So¸i §Çu	0	103	32158	30	40000	0	360	46;46					32241	790			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Thanh Long Nguyªn So¸i §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Liªu_Thanh Long T­íng Qu©n §Çu	0	103	32159	30	40000	0	360	46;46					32243	790			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Thanh Long T­íng Qu©n §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Liªu_Thanh Long Nguyªn So¸i §Çu	0	103	32160	30	40000	0	360	46;46					32245	790			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Thanh Long Nguyªn So¸i §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0																																																																							
Tèng_Háa Phông T­íng Qu©n Kh«i	0	103	32161	30	40000	0	360	46;46					32230	690			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Háa Phông T­íng Qu©n Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	32162	30	40000	0	360	46;46					32232	690			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	32163	30	40000	0	360	46;46					32234	690			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Háa Phông T­íng Qu©n Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Liªu_Háa Phông Nguyªn So¸i Kh«i	0	103	32164	30	40000	0	360	46;46					32236	690			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Tèng_Thanh Long T­íng Qu©n §Çu	0	103	32165	30	40000	0	360	46;46					32238	790			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Thanh Long T­íng Qu©n §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Tèng_Thanh Long Nguyªn So¸i §Çu	0	103	32166	30	40000	0	360	46;46					32240	790			T©n thñ kh«ng thÓ dïng			<color=gold>Tèng_Thanh Long Nguyªn So¸i §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Liªu_Thanh Long T­íng Qu©n §Çu	0	103	32167	30	40000	0	360	46;46					32242	790			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Thanh Long T­íng Qu©n §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
Liªu_Thanh Long Nguyªn So¸i §Çu	0	103	32168	30	40000	0	360	46;46					32244	790			T©n thñ kh«ng thÓ dïng			<color=gold>Liªu_Thanh Long Nguyªn So¸i §Çu<color><enter>Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0																																																																							
ChiÕn Cuång Bµn V©n Qu¸n	0	103	32169	30	40000	0	200	25;17					32246	70						<color=gold>ChiÕn Cuång Bµn V©n Qu¸n<color><enter>Ao thu thanh tÞnh, ¸nh s¸ng tùa ®ao.	±ê×¼ÄÐ³½ÉßÔÚËê¹Ú	§· khãa		9	2	1	31	0																																																																							
ChiÕn Cuång Tr¶m Ma Qu¸n	0	103	32170	30	40000	0	200	25;17					32247	70						<color=gold>ChiÕn Cuång Tr¶m Ma Qu¸n<color><enter>Trèng trËn dån vang, ®ao vµng lÊp l¸nh.	±ê×¼ÄÐ³½ÉßÔÚËê¹Ú	§· khãa		9	2	1	32	0																																																																							
Xu©n ý Qu¸n	0	108	1005	10	0	0	360							1	1	1		\image\item\cloth\´ºÒâ°»È»Í·±ê×¼a1.spr	\image\item\cloth\´ºÒâ°»È»Í·±ê×¼a0.spr	<color=gold>Xu©n ý Qu¸n<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	±ê×¼ÄÐ´ºÒâ°»È»Í·	Ngo¹i trang		1	2	1		1	999																																																																						
Xu©n ý Qu¸n	0	108	1006	10	0	0	360							1	1	2		\image\item\cloth\´ºÒâ°»È»Í·¿ýÎàa1.spr	\image\item\cloth\´ºÒâ°»È»Í·¿ýÎàa0.spr	<color=gold>Xu©n ý Qu¸n<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	¿ýÎàÄÐ´ºÒâ°»È»Í·	Ngo¹i trang		1	2	1		1	999																																																																						
Xu©n ý Tr©m	0	108	1007	10	0	0	360							1	2	3		\image\item\cloth\´ºÒâ°»È»Í·ÐÔ¸Ða1.spr	\image\item\cloth\´ºÒâ°»È»Í·ÐÔ¸Ða0.spr	<color=gold>Xu©n ý Tr©m<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	ÐÔ¸ÐÅ®´ºÒâ°»È»Í·	Ngo¹i trang		1	2	1		1	999																																																																						
Xu©n ý Tr©m	0	108	1008	10	0	0	360							1	2	4		\image\item\cloth\´ºÒâ°»È»Í·½¿Ð¡a1.spr	\image\item\cloth\´ºÒâ°»È»Í·½¿Ð¡a0.spr	<color=gold>Xu©n ý Tr©m<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	½¿Ð¡Å®´ºÒâ°»È»Í·	Ngo¹i trang		1	2	1		1	999																																																																						
VÊn T×nh Qu¸n	0	108	1009	10	0	0	360							1	1	1		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	<color=gold>VÊn T×nh Qu¸n<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	±ê×¼ÄÐÎÊÇéÍ·	Ngo¹i trang		1	2	1		1	999																																																																						
VÊn T×nh Qu¸n	0	108	1010	10	0	0	360							1	1	2		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	<color=gold>VÊn T×nh Qu¸n<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	¿ýÎàÄÐÎÊÇéÍ·	Ngo¹i trang		1	2	1		1	999																																																																						
VÊn T×nh Tr©m	0	108	1011	10	0	0	360							1	2	3		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	<color=gold>VÊn T×nh Tr©m<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	ÐÔ¸ÐÅ®ÎÊÇéÍ·	Ngo¹i trang		1	2	1		1	999																																																																						
VÊn T×nh Tr©m	0	108	1012	10	0	0	360							1	2	4		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	<color=gold>VÊn T×nh Tr©m<color><enter>Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	½¿Ð¡Å®ÎÊÇéÍ·	Ngo¹i trang		1	2	1		1	999																																																																						
Nãn Hµo HiÖp (PhÕ)	0	103	20000	30	40000	0	200	20;20					50060	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_026a1.spr	\image\item\cap\m1_hd_026a0.spr	<color=gold>Nãn Hµo HiÖp (PhÕ)<color><enter>Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	±ê×¼ÄÐºÀÏÀ¹Ú	§· khãa		10;10	4	1		0		99	33	31	12																																																																		
Nãn Hµo HiÖp (PhÕ)	0	103	20001	30	40000	0	200	20;20					50061	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_026a1.spr	\image\item\cap\m2_hd_026a0.spr	<color=gold>Nãn Hµo HiÖp (PhÕ)<color><enter>Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ýÎàÄÐºÀÏÀ¹Ú	§· khãa		10;10	4	1		0		99	33	31	12																																																																		
Nãn Hµo HiÖp (PhÕ)	0	103	20002	30	40000	0	200	20;20					50062	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_026a1.spr	\image\item\cap\f2_hd_026a0.spr	<color=gold>Nãn Hµo HiÖp (PhÕ)<color><enter>Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÐÔ¸ÐÅ®ºÀÏÀô¢	§· khãa		10;10	4	1		0		99	33	31	12																																																																		
Nãn Hµo HiÖp (PhÕ)	0	103	20003	30	40000	0	200	20;20					50063	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_026a1.spr	\image\item\cap\f1_hd_026a0.spr	<color=gold>Nãn Hµo HiÖp (PhÕ)<color><enter>Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	½¿Ð¡Å®ºÀÏÀô¢	§· khãa		10;10	4	1		0		99	33	31	12																																																																		
Hµo HiÖp §Çu	0	103	20004	30	40000	0	200	20;20					50064	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_026a1.spr	\image\item\cap\m1_hd_026a0.spr	<color=gold>Hµo HiÖp §Çu<color><enter>Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	±ê×¼ÄÐºÀÏÀ¹Ú	§· khãa		10;10	4	1		0		99	38	36	12																																																																		
Hµo HiÖp §Çu	0	103	20005	30	40000	0	200	20;20					50065	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_026a1.spr	\image\item\cap\m2_hd_026a0.spr	<color=gold>Hµo HiÖp §Çu<color><enter>Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ýÎàÄÐºÀÏÀ¹Ú	§· khãa		10;10	4	1		0		99	38	36	12																																																																		
