Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Ph¸ Tinh Th¹ch	2	1	30950	1	0	999												\image\item\qhcailiao\¸ß¼¶Ê×ÊÎÇ¿»¯¾«Ê¯a1.spr	\image\item\qhcailiao\¸ß¼¶Ê×ÊÎÇ¿»¯¾«Ê¯a0.spr	<color=gold>Ph¸ Tinh Th¹ch<color><enter>Nguyªn liÖu c­êng hãa lªn cÊp 15-20.		ThÇn bİ		1	0	1							
C­êng Hãa QuyÓn Lv17	2	1	30951	1	0	1												\image\item\qhcailiao\Ç¿»¯¾í17a1.spr	\image\item\qhcailiao\Ç¿»¯¾í17a0.spr	<color=gold>C­êng Hãa QuyÓn Lv17<color><enter>C­êng hãa tõ cÊp 16 lªn 17, nÕu dïng C­êng Hãa QuyÓn th× khi thÊt b¹i sÏ quay vÒ cÊp 16.		ThÇn bİ		1	0	1							
C­êng Hãa QuyÓn Lv18	2	1	30952	1	0	1												\image\item\qhcailiao\Ç¿»¯¾í18a1.spr	\image\item\qhcailiao\Ç¿»¯¾í18a0.spr	<color=gold>C­êng Hãa QuyÓn Lv18<color><enter>C­êng hãa tõ cÊp 17 lªn 18, nÕu dïng C­êng Hãa QuyÓn th× khi thÊt b¹i sÏ quay vÒ cÊp 17.		ThÇn bİ		1	0	1							
C­êng Hãa QuyÓn Lv19	2	1	30953	1	0	1												\image\item\qhcailiao\Ç¿»¯¾í19a1.spr	\image\item\qhcailiao\Ç¿»¯¾í19a0.spr	<color=gold>C­êng Hãa QuyÓn Lv19<color><enter>C­êng hãa tõ cÊp 18 lªn 19, nÕu dïng C­êng Hãa QuyÓn th× khi thÊt b¹i sÏ quay vÒ cÊp 18.		ThÇn bİ		1	0	1							
C­êng Hãa QuyÓn Lv20	2	1	30954	1	0	1												\image\item\qhcailiao\Ç¿»¯¾í20a1.spr	\image\item\qhcailiao\Ç¿»¯¾í20a0.spr	<color=gold>C­êng Hãa QuyÓn Lv20<color><enter>C­êng hãa tõ cÊp 19 lªn 20, nÕu dïng C­êng Hãa QuyÓn th× khi thÊt b¹i sÏ quay vÒ cÊp 19.		ThÇn bİ		1	0	1							
ThÎ ma kÕt	2	1	30955	1	0	1												\image\item\other\Ä¦ôÉ¿¨32.spr	\image\item\other\Ä¦ôÉ¿¨80.spr	<color=gold>ThÎ ma kÕt<color><enter>Sau khi dïng CÈm Nang §¹i Sù KiÖn kİch ho¹t sÏ nhËn ®­îc dŞch vô VIP 1 th¸ng vµ 1 ThÇn Hµnh B¶o §iÓn.		ThÇn bİ	\script\function\vip_card\item_vip_card.lua	1	0	1							
Tinh Lùc §¬n	2	1	30956	1	0	99												\image\item\usable\heal_029a1.spr	\image\item\usable\heal_029a0.spr	<color=gold>Tinh Lùc §¬n<color><enter>Sau khi dïng phôc håi 50 ®iÓm tinh lùc (Tinh lùc phôc håi kh«ng ®­îc v­ît qu¸ giíi h¹n tinh lùc)		ThÇn bİ	\script\item\item_jinlidan.lua	1	2	1							
Quµ B¸o Danh-S¬	2	1	30957	1	0	1												\image\item\other\ÂÌÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\ÂÌÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>Quµ B¸o Danh-S¬<color><enter>Tİch lòy b¸o danh 5 ngµy nhËn ®­îc, nhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng		ThÇn bİ	\script\item\item_qiandaojiangli.lua	1	2	1							
Quµ B¸o Danh-Trung	2	1	30958	1	0	1												\image\item\other\À¶É«¸ß¼¶°ü¹üa1.spr	\image\item\other\À¶É«¸ß¼¶°ü¹üa0.spr	<color=gold>Quµ B¸o Danh-Trung<color><enter>Tİch lòy b¸o danh 14 ngµy nhËn ®­îc, nhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng		ThÇn bİ	\script\item\item_qiandaojiangli.lua	1	2	1							
Quµ B¸o Danh-Cao	2	1	30959	1	0	1												\image\item\other\×ÏºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\×ÏºìÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>Quµ B¸o Danh-Cao<color><enter>Tİch lòy b¸o danh 21 ngµy nhËn ®­îc, nhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng		ThÇn bİ	\script\item\item_qiandaojiangli.lua	1	2	1							
Quµ B¸o Danh-Hµo Hoa	2	1	30960	1	0	1												\image\item\other\éÙºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\éÙºìÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>Quµ B¸o Danh-Hµo Hoa<color><enter>Tİch lòy b¸o danh 28 ngµy nhËn ®­îc, nhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng phong phó		ThÇn bİ	\script\item\item_qiandaojiangli.lua	1	2	1							
§iÓm tİch lòy khiªu chiÕn	2	1	30961	1	0	999												\image\item\other\Êı×Ö¿¨ºì1a1.spr	\image\item\other\Êı×Ö¿¨ºì1a0.spr	<color=gold>§iÓm tİch lòy khiªu chiÕn<color><enter>Sau khi v­ît qua Khiªu ChiÕn V¹n KiÕm Tròng sÏ nhËn ®­îc		ThÇn bİ		1	2	1							
C©y th«ng gi¸o héi	2	1	30962	1	0	2000												\image\item\other\Ê¥µ®Ê÷ 32.spr	\image\item\other\Ê¥µ®Ê÷ 80.spr	<color=gold>C©y th«ng gi¸o héi<color><enter>Dïng ®Ó ghĞp C©y Th«ng An Lµnh vµ C©y Th«ng Êm ¸p		ThÇn bİ		1	0	0							
VËt Trang Trİ	2	1	30963	1	0	2000												\image\item\other\Ê¥µ®Ê÷ÊÎÆ· 32.spr	\image\item\other\Ê¥µ®Ê÷ÊÎÆ· 80.spr	<color=gold>VËt Trang Trİ<color><enter>Dïng ®Ó ghĞp C©y Th«ng An Lµnh vµ C©y Th«ng Êm ¸p		ThÇn bİ		1	0	0							
Hép quµ gi¸ng sinh	2	1	30964	5	10000	2000												\image\item\other\Ê¥µ®ÀñºĞ 32.spr	\image\item\other\Ê¥µ®ÀñºĞ 80.spr	<color=gold>Hép quµ gi¸ng sinh<color><enter>Dïng ®Ó ghĞp C©y Th«ng Gi¸ng Sinh		ThÇn bİ		1	0	0							
C©y Th«ng An Lµnh	2	1	30965	1	0	2000												\image\item\other\Æ½°²Ê¥µ®Ê÷ 32.spr	\image\item\other\Æ½°²Ê¥µ®Ê÷ 80.spr	<color=gold>C©y Th«ng An Lµnh<color><enter>Dïng VËt Trang Trİ vµ C©y Th«ng ®Ó ghĞp thµnh<enter><color=Gold>(Sau 24:00 31/12/2015 kh«ng thÓ dïng)		ThÇn bİ		1	0	1							
C©y Th«ng Êm ¸p	2	1	30966	1	0	2000												\image\item\other\ÎÂÅ¯Ê¥µ®Ê÷ 32.spr	\image\item\other\ÎÂÅ¯Ê¥µ®Ê÷ 80.spr	<color=gold>C©y Th«ng Êm ¸p<color><enter>Dïng VËt Trang Trİ vµ C©y Th«ng ®Ó ghĞp thµnh<enter><color=Gold>(Sau 24:00 31/12/2015 kh«ng thÓ dïng)		ThÇn bİ		1	0	1							
C©y Gi¸ng Sinh (lín)	2	1	30967	1	0	2000												\image\item\other\´óÊ¥µ®Ê÷ 32.spr	\image\item\other\´óÊ¥µ®Ê÷ 80.spr	<color=gold>C©y Gi¸ng Sinh (lín)<color><enter>Dïng C©y Th«ng An Lµnh, C©y Th«ng Êm ¸p vµ Hép Quµ Gi¸ng Sinh ®Ó ghĞp thµnh<enter><color=Gold>(Sau 24:00 31/12/2015 kh«ng thÓ dïng)		ThÇn bİ		1	0	1							
R­¬ng X©y Dùng ThÕ Lùc	2	1	30968	5	0	999												\image\item\other\ĞÒÔË³é½±Ïäa1.spr	\image\item\other\ĞÒÔË³é½±Ïäa0.spr	<color=gold>R­¬ng X©y Dùng ThÕ Lùc<color><enter>NhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng		ThÇn bİ	\script\missions\yp\ywz\item_jianshebox.lua	1	2	1							
Anh Dòng Chøng	2	1	30969	1	0	2000												\image\item\other\Ú¯Êéa1.spr	\image\item\other\Ú¯Êéa0.spr	<color=gold>Anh Dòng Chøng<color><enter>Cã thÓ dïng ®Ó ®æi d­îc phÈm trong tiÖm d­îc phÈm Ba Phe DiÔn Vâ ChiÕn		ThÇn bİ		1	0	1							
Trøng B¸ Ng¹c	2	1	30970	1	0	1												\image\item\other\Èı¼¶³èÎïµ°a1.spr	\image\item\other\Èı¼¶³èÎïµ°a0.spr	<color=gold>Trøng B¸ Ng¹c<color><enter>B¸ V­¬ng Ng¹c ®ang ngñ ngon ë bªn bê hå, kh«ng ngê bŞ b¹n b¾t ®­îc (Më sÏ nhËn ®­îc b¹n ®ång hµnh phôc sinh-B¸ V­¬ng Ng¹c)		ThÇn bİ	\script\item\item_pet_egg.lua	1	0	1							
Quµ Song §¸n-Th­êng	2	1	30971	1	0	2000												\image\item\other\ºìÉ«ÆÕÍ¨°ü¹üa1.spr	\image\item\other\ºìÉ«ÆÕÍ¨°ü¹üa0.spr	<color=gold>Quµ Song §¸n-Th­êng<color><enter>NhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng, tèi ®a më ®­îc 500 c¸i		ThÇn bİ		1	0	1							
Quµ Song §¸n-Hµo Hoa	2	1	30972	1	0	2000												\image\item\other\ºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\ºìÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>Quµ Song §¸n-Hµo Hoa<color><enter>CÇn 10 Xu ®Ó më vµ nhËn th­ëng		ThÇn bİ		1	0	1							
V« H¹ Hµo HiÖp LÖnh (Vò Khİ)	2	1	30973	1	0	1												\image\item\other\ÎäÁÖ»Æ½ğÁîa1.spr	\image\item\other\ÎäÁÖ»Æ½ğÁîa0.spr	<color=gold>V« H¹ Hµo HiÖp LÖnh (Vò Khİ)<color><enter>Së h÷u lÖnh bµi nµy sÏ nhËn ®­îc thuéc tİnh chØ ®Şnh cña trang bŞ Hµo HiÖp (Vò khİ), v× thÕ cã tªn lµ V« H¹, nhÊp chuét ph¶i dïng sÏ cã thÓ chän thuéc tİnh;		ThÇn bİ	\settings\static_script\item\item_hfl_haoxia2.lua	1	0	1							
V« H¹ Hµo HiÖp LÖnh (Trang Søc)	2	1	30974	1	0	1												\image\item\other\ÎäÁÖ»Æ½ğÁîa1.spr	\image\item\other\ÎäÁÖ»Æ½ğÁîa0.spr	<color=gold>V« H¹ Hµo HiÖp LÖnh (Trang Søc)<color><enter>Së h÷u lÖnh bµi nµy sÏ nhËn ®­îc thuéc tİnh chØ ®Şnh cña trang bŞ Hµo HiÖp (Trang søc), v× thÕ cã tªn lµ V« H¹, nhÊp chuét ph¶i dïng sÏ cã thÓ chän thuéc tİnh;		ThÇn bİ	\settings\static_script\item\item_hfl_haoxia2.lua	1	0	1							
L¸ dong xanh	2	1	30975	1	0	2000												\image\item\other\Î­Ò¶ 32.spr	\image\item\other\Î­Ò¶ 80.spr	<color=gold>L¸ dong xanh<color><enter>Dïng ®Ó chÕ t¹o B¸nh TĞt vµ B¸nh Ch­ng		ThÇn bİ		1	0	0							
G¹o nÕp	2	1	30976	1	0	2000												\image\item\other\Å´Ã× 32.spr	\image\item\other\Å´Ã× 80.spr	<color=gold>G¹o nÕp<color><enter>Dïng ®Ó chÕ t¹o B¸nh TĞt vµ B¸nh Ch­ng		ThÇn bİ		1	0	0							
Nh©n §Ëu Xanh ThŞt Heo	2	1	30977	1	0	2000												\image\item\other\ÂÌ¶¹ÈâÈÊ 32.spr	\image\item\other\ÂÌ¶¹ÈâÈÊ 80.spr	<color=gold>Nh©n §Ëu Xanh ThŞt Heo<color><enter>Dïng ®Ó chÕ t¹o B¸nh Ch­ng ThËp CÈm		ThÇn bİ		1	0	0							
B¸nh ch­ng	2	1	30978	1	0	2000												\image\item\other\ôÕ×Ó 32.spr	\image\item\other\ôÕ×Ó 80.spr	<color=gold>B¸nh ch­ng<color><enter>Dïng L¸ Dong vµ G¹o NÕp chÕ t¹o ra<enter><color=Gold>(Sau 31/01/2016 kh«ng thÓ dïng)		ThÇn bİ		1	0	1							
B¸nh TĞt	2	1	30979	1	0	2000												\image\item\other\ËÄ·½ôÕ×Ó 32.spr	\image\item\other\ËÄ·½ôÕ×Ó 80.spr	<color=gold>B¸nh TĞt<color><enter>Dïng L¸ Dong vµ G¹o NÕp chÕ t¹o ra<enter><color=Gold>(Sau 31/01/2016 kh«ng thÓ dïng)		ThÇn bİ		1	0	1							
B¸nh İt thËp cÈm	2	1	30980	1	0	2000												\image\item\other\Ê²½õôÕ×Ó 32.spr	\image\item\other\Ê²½õôÕ×Ó 80.spr	<color=gold>B¸nh İt thËp cÈm<color><enter>Dïng B¸nh TĞt, B¸nh Ch­ng vµ Nh©n §Ëu Xanh ThŞt Heo chÕ t¹o ra<enter><color=Gold>(Sau 31/01/2016 kh«ng thÓ dïng)		ThÇn bİ		1	0	1							
ThÎ B¶o B×nh	2	1	30981	1	0	1												\image\item\other\Ë®Æ¿¿¨32.spr	\image\item\other\Ë®Æ¿¿¨80.spr	<color=gold>ThÎ B¶o B×nh<color><enter>Sau khi dïng CÈm Nang §¹i Sù KiÖn kİch ho¹t sÏ nhËn ®­îc dŞch vô VIP 1 th¸ng vµ 1 ThÇn Hµnh B¶o §iÓn.		ThÇn bİ	\script\function\vip_card\item_vip_card.lua	1	0	1							
PhiÕu Èm Thùc-Th­êng	2	1	30982	1	0	999												\image\item\other\quest_038a1.spr	\image\item\other\quest_038a0.spr	<color=gold>PhiÕu Èm Thùc-Th­êng<color><enter>NhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng		ThÇn bİ		1	2	1							
PhiÕu Èm Thùc-Cùc phÈm	2	1	30983	1	0	999												\image\item\other\fengkuangcaiquana1.spr	\image\item\other\fengkuangcaiquana0.spr	<color=gold>PhiÕu Èm Thùc-Cùc phÈm<color><enter>NhÊp chuét ph¶i më sÏ nhËn ®­îc phÇn th­ëng		ThÇn bİ		1	2	1							
Long Tu Th¶o	2	1	30984	1	0	999												\image\item\other\quest_060a1.spr	\image\item\other\quest_060a0.spr	<color=gold>Long Tu Th¶o<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Phông Tr¶o	2	1	30985	1	0	999												\image\item\other\quest_059a1.spr	\image\item\other\quest_059a0.spr	<color=gold>Phông Tr¶o<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Trøng VŞt	2	1	30986	1	0	999												\image\item\other\yindan_a1.spr	\image\item\other\yindan_a0.spr	<color=gold>Trøng VŞt<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Hoa Phông Hoµng	2	1	30987	1	0	999												\image\item\other\½ğÁ«»¨a1.spr	\image\item\other\½ğÁ«»¨a0_80.spr	<color=gold>Hoa Phông Hoµng<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
§Ëu §á	2	1	30988	1	0	999												\image\item\other\ºì¶¹a1.spr	\image\item\other\ºì¶¹a0.spr	<color=gold>§Ëu §á<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Phong Tr¹ch Cèc	2	1	30989	1	0	999												\image\item\other\°×Ã×a1.spr	\image\item\other\°×Ã×a0.spr	<color=gold>Phong Tr¹ch Cèc<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Hoa Tiªu	2	1	30990	1	0	999												\image\item\other\°¬Ò¶a1.spr	\image\item\other\°¬Ò¶a0.spr	<color=gold>Hoa Tiªu<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
B¾p Hoµng Kim	2	1	30991	1	0	999												\image\item\other\ËÚÃ×a1.spr	\image\item\other\ËÚÃ×a0.spr	<color=gold>B¾p Hoµng Kim<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
ThŞt R¾n	2	1	30992	1	0	999												\image\item\other\skin_003a1.spr	\image\item\other\skin_003a0.spr	<color=gold>ThŞt R¾n<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
ThŞt Ngçng	2	1	30993	1	0	999												\image\item\other\quest_051a1.spr	\image\item\other\quest_051a0.spr	<color=gold>ThŞt Ngçng<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Lóa M×	2	1	30994	1	0	999												\image\item\other\°ëÏÄµ¾Í¼±êa1.spr	\image\item\other\°ëÏÄµ¾Í¼±êa0.spr	<color=gold>Lóa M×<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
ThŞt dª	2	1	30995	1	0	999												\image\item\other\»ğÍÈa1.spr	\image\item\other\»ğÍÈa0.spr	<color=gold>ThŞt dª<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
M¨ng Tre	2	1	30996	1	0	999												\image\item\other\ÏÉÖñÑ¿a1.spr	\image\item\other\ÏÉÖñÑ¿a0_80.spr	<color=gold>M¨ng Tre<color><enter>Nguyªn liÖu LÔ Héi Âm Thùc		ThÇn bİ		1	0	1							
Ch©n QuyÓn Tinh Hoa	2	114	117	1	0	1000												\image\item\zwmj\ÎäÑ§Õæ´«a1.spr	\image\item\zwmj\ÎäÑ§Õæ´«a0.spr	<color=gold>Ch©n QuyÓn Tinh Hoa<color><enter>Dïng ®Ó ®æi Qu¸n Th«ng QuyÓn vµ Ch©n Vâ Thñ Kı, nhÊp chuét ph¶i ®Ó dïng.		ThÇn bİ	\script\item\simple_item.lua	1	1	1			999				
Qu¸n Th«ng QuyÓn	2	114	118	1	0	1												\image\item\zwmj\ÎŞ×ÖÌìÊéa1.spr	\image\item\zwmj\ÎŞ×ÖÌìÊéa0.spr	<color=gold>Qu¸n Th«ng QuyÓn<color><enter>NhÊp chuét ph¶i dïng cã thÓ gióp S­ M«n Ch©n QuyÓn ®· ®Çy cÊp ®ang trang bŞ trªn ng­êi th¨ng hoa thµnh ch©n quyÓn cã mang Ch©n Vâ B¶o §iÓn.		ThÇn bİ	\script\misc\book_appendix\item_wuzhitianshu.lua	1	1	1			999				
Ch©n Vâ Thñ Kı	2	114	120	1	0	1												\image\item\zwmj\ÕæÎäÊÖ¼Ça1.spr	\image\item\zwmj\ÕæÎäÊÖ¼Ça0.spr	<color=gold>Ch©n Vâ Thñ Kı<color><enter>NhÊp chuét ph¶i dïng sÏ gióp mét sè Ch©n Vâ B¶o §iÓn cña ch©n quyÓn ®· th¨ng hoa trªn ng­êi ph¸t triÓn thµnh Kû YÕu cña l­u ph¸i t­¬ng øng, dïng Kû YÕu t­¬ng øng cã thÓ gióp Ch©n Vâ B¶o §iÓn ®· ph¸t triÓn thªm vµo ch©n quyÓn cña Kû YÕu l­u ph¸i t­¬ng øng. Sau khi ph¸t triÓn th× Ch©n Vâ B¶o §iÓn trªn mËt tŞch sÏ bŞ xãa.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-Kim Cang B¸t Nh· Kû YÕu	2	114	121	1	0	1												\image\item\zwmj\ÕæÎä¡¤½ğ¸Õ°ãÈô¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤½ğ¸Õ°ãÈô¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-Kim Cang B¸t Nh· Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn Kim Cang B¸t Nh· ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-V« TrÇn Bå §Ò Kû YÕu	2	114	122	1	0	1												\image\item\zwmj\ÕæÎä¡¤ÎŞ³¾ÆĞÌá¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤ÎŞ³¾ÆĞÌá¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-V« TrÇn Bå §Ò Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn V« TrÇn Bå §Ò ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-TiÒm Long Tóc DiÖt Kû YÕu	2	114	123	1	0	1												\image\item\zwmj\ÕæÎä¡¤Ç±Áú¼ÅÃğ¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤Ç±Áú¼ÅÃğ¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-TiÒm Long Tóc DiÖt Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn TiÒm Long Tóc DiÖt ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-Thiªn La Liªn Ch©u Kû YÕu	2	114	124	1	0	1												\image\item\zwmj\ÕæÎä¡¤ÌìÂŞÁ¬Öé¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤ÌìÂŞÁ¬Öé¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-Thiªn La Liªn Ch©u Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn Thiªn La Liªn Ch©u ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-Nh­ ı Kim §Ønh Kû YÕu	2	114	125	1	0	1												\image\item\zwmj\ÕæÎä¡¤ÈçÒâ½ğ¶¥¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤ÈçÒâ½ğ¶¥¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-Nh­ ı Kim §Ønh Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn Nh­  Kim §Ønh ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-Bİch H¶i TuyÖt ¢m Kû YÕu	2	114	126	1	0	1												\image\item\zwmj\ÕæÎä¡¤±Ìº£¾øÒô¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤±Ìº£¾øÒô¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-Bİch H¶i TuyÖt ¢m Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn Bİch H¶i TuyÖt ¢m ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-Hçn §én TrÊn Nh¹c Kû YÕu	2	114	127	1	0	1												\image\item\zwmj\ÕæÎä¡¤»ìãçÕòÔÀ¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤»ìãçÕòÔÀ¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-Hçn §én TrÊn Nh¹c Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn Hçn §én TrÊn Nh¹c ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-Quú Thiªn Du Long Kû YÕu	2	114	128	1	0	1												\image\item\zwmj\ÕæÎä¡¤ŞñÌìÓÎÁú¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤ŞñÌìÓÎÁú¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-Quú Thiªn Du Long Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn Quú Thiªn Du Long ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
Ch©n Vâ-HuyÒn ¶nh Mª T«ng Kû YÕu	2	114	129	1	0	1												\image\item\zwmj\ÕæÎä¡¤»ÃÓ°ÃÔ×Ù¼ÍÒªa1.spr	\image\item\zwmj\ÕæÎä¡¤»ÃÓ°ÃÔ×Ù¼ÍÒªa0.spr	<color=gold>Ch©n Vâ-HuyÒn ¶nh Mª T«ng Kû YÕu<color><enter>Khi trªn ng­êi cã ch©n quyÓn HuyÒn nh Mª T«ng ®· th¨ng hoa cã thÓ nhÊp chuét ph¶i dïng, sao chĞp ı nghÜa s©u xa cña vâ häc lªn mËt tŞch ®ang trang bŞ. Sau khi dïng vËt phÈm sÏ biÕn mÊt, h·y cÈn thËn.		ThÇn bİ	\script\misc\book_appendix\item_zhenwushouji.lua	1	1	1			999				
