Tªn thó c­ìi	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	Column1
Lam Mao Ng­u B¶o B¶o	0	105	30024	1000	0	0	2500		state_move_speed_percent_add	800;278				10				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	<color=gold>Lam Mao Ng­u B¶o B¶o<color><enter>Lam Mao Ng­u B¶o B¶o	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¹ch Hæ B¶o B¶o	0	105	30025	1000	0	0	2500		state_move_speed_percent_add	800;279				10				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	<color=gold>B¹ch Hæ B¶o B¶o<color><enter>B¹ch Hæ B¶o B¶o	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Hoµng Hæ B¶o B¶o	0	105	30026	1000	0	0	2500		state_move_speed_percent_add	800;280				10				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	<color=gold>Hoµng Hæ B¶o B¶o<color><enter>Hoµng Hæ B¶o B¶o	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
H¾c Hæ B¶o B¶o	0	105	30027	1000	0	0	2500		state_move_speed_percent_add	800;281				10				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	<color=gold>H¾c Hæ B¶o B¶o<color><enter>H¾c Hæ B¶o B¶o	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o Tr¾ng B¶o B¶o	0	105	30028	1000	0	0	2500		state_move_speed_percent_add	800;282				10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	<color=gold>B¸o Tr¾ng B¶o B¶o<color><enter>B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o §en B¶o B¶o	0	105	30029	1000	0	0	2500		state_move_speed_percent_add	800;283				10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	<color=gold>B¸o §en B¶o B¶o<color><enter>B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o Vµng B¶o B¶o	0	105	30030	1000	0	0	2500		state_move_speed_percent_add	800;284				10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	<color=gold>B¸o Vµng B¶o B¶o<color><enter>B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
¤ V©n §¹p TuyÕt B¶o B¶o	0	105	30031	1000	0	0	2500		state_move_speed_percent_add	800;285				10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	<color=gold>¤ V©n §¹p TuyÕt B¶o B¶o<color><enter>¤ V©n §¹p TuyÕt B¶o B¶o	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
§éc Gi¸c Thó B¶o B¶o	0	105	30032	1000	0	0	2500		state_move_speed_percent_add	800;286				10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	<color=gold>§éc Gi¸c Thó B¶o B¶o<color><enter>§éc Gi¸c Thó B¶o B¶o	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
ChiÕn T­îng	0	105	30033	1000	0	0	2500		state_move_speed_percent_add	800;287				10				\image\item\horse\³¤Ã«Ïóa1.spr	\image\item\horse\³¤Ã«Ïóa0.spr	<color=gold>ChiÕn T­îng<color><enter>ChiÕn T­îng, thó c­ìi chuyªn dông cña Nguyªn So¸i, uy phong lÉm liÖt, qu©n c«ng ®¹t trªn 25 v¹n ®iÓm cã thÓ c­ìi	Ïó	M· Bµi	\script\online_activites\silingmount\item\zhanxiang.lua	4	4	1			
ThuyÒn Thanh Long	0	105	30034	1000	0	0	1000		state_move_speed_percent_add	800;288				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Thanh Long<color><enter>	¶Ì±øÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\qinglong_script.lua	1	1	1			
ThuyÒn HuyÒn Vò	0	105	30035	1000	0	0	1000		state_move_speed_percent_add	800;289				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn HuyÒn Vò<color><enter>	Ë®À×ÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\xuanwu_script.lua	1	1	1			
ThuyÒn B¹ch Hæ	0	105	30036	1000	0	0	1000		state_move_speed_percent_add	800;290				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn B¹ch Hæ<color><enter>	Ë®ÅÚÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\baihu_script.lua	1	1	1			
ThuyÒn Chu T­íc	0	105	30037	1000	0	0	1000		state_move_speed_percent_add	800;291				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Chu T­íc<color><enter>	ÍÁÅÚÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\zhuque_script.lua	1	1	1			
NguyÖt L­îng Thè	0	105	30038	100	0	0	2500		state_move_speed_percent_add	800;292				10				\image\item\horse\°×ÍÃ×Ó36.spr	\image\item\horse\°×ÍÃ×Ó120.spr	<color=gold>NguyÖt L­îng Thè<color><enter>Thá tr¾ng xinh ®Ñp qu¸	°×ÍÃ×Ó	M· Bµi	\script\item\horse.lua	1	4	1			
Thá ®en	0	105	30039	100	0	0	2500		state_move_speed_percent_add	800;293				10				\image\item\horse\ºÚÍÃ×Ó36.spr	\image\item\horse\ºÚÍÃ×Ó120.spr	<color=gold>Thá ®en<color><enter>Thá ®en ngé nghÜnh	ºÚÍÃ×Ó	M· Bµi	\script\item\horse.lua	1	4	1			
Thá b«ng	0	105	30040	100	0	0	2500		state_move_speed_percent_add	800;294				10				\image\item\horse\»¨ÍÃ×Ó36.spr	\image\item\horse\»¨ÍÃ×Ó120.spr	<color=gold>Thá b«ng<color><enter>Thá b«ng ®¸ng yªu qu¸	»¨ÍÃ×Ó	M· Bµi	\script\item\horse.lua	1	4	1			
Xe TuÇn Léc mµu ®á	0	105	30041	1000	0	0	2500		state_move_speed_percent_add	800;295				10				\image\item\horse\Ê¥µ®Ñ©ÇÁa1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁa0.spr	<color=gold>Xe TuÇn Léc mµu ®á<color><enter>Xe TuÇn Léc §á xinh ®Ñp, v« cïng thêi trang	·ÉÌìÓùÂ¹£¨ºì£©	M· Bµi	\script\item\horse.lua	1	4	1			
Xe TuÇn Léc  xanh lôc	0	105	30042	1000	0	0	2500		state_move_speed_percent_add	800;296				10				\image\item\horse\Ê¥µ®Ñ©ÇÁ2a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ2a0.spr	<color=gold>Xe TuÇn Léc  xanh lôc<color><enter>Xe TuÇn Léc Lôc xinh ®Ñp, v« cïng thêi trang	·ÉÌìÓùÂ¹£¨ÂÌ£©	M· Bµi	\script\item\horse.lua	1	4	1			
Xe TuÇn Léc mµu vµng	0	105	30043	1000	0	0	2500		state_move_speed_percent_add	800;297				10				\image\item\horse\Ê¥µ®Ñ©ÇÁ3a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ3a0.spr	<color=gold>Xe TuÇn Léc mµu vµng<color><enter>Xe TuÇn Léc Vµng xinh ®Ñp, v« cïng thêi trang	·ÉÌìÓùÂ¹£¨ÂÌ½ğ£©	M· Bµi	\script\item\horse.lua	1	4	1			
L©n S­	0	105	30044	1000	1	0	25000		state_move_speed_percent_add	800;298				10				\image\item\horse\ÎèÊ¨a1.spr	\image\item\horse\ÎèÊ¨a0.spr	<color=gold>L©n S­<color><enter>Sau khi sö dông sÏ xuÊt hiÖn mét con l©n s­ ®Ó ng­¬i c­ìi	ÎèÊ¨	M· Bµi	\script\item\horse.lua	3	0	1		200000	
B¸o §en B¶o B¶o	0	105	30045	1000	0	0	2500		state_move_speed_percent_add	800;299				10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	<color=gold>B¸o §en B¶o B¶o<color><enter>B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	0	1			
B¸o Vµng B¶o B¶o	0	105	30046	1000	0	0	2500		state_move_speed_percent_add	800;300				10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	<color=gold>B¸o Vµng B¶o B¶o<color><enter>B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	0	1			
B¸o Tr¾ng B¶o B¶o	0	105	30047	1000	0	0	2500		state_move_speed_percent_add	800;301				10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	<color=gold>B¸o Tr¾ng B¶o B¶o<color><enter>B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	0	1			
ThÇn Thó TŞch Tµ	0	105	30048	1000	0	0	2500		state_move_speed_percent_add	800;302				10				\image\item\horse\ÉñÊŞ±ÙĞ°a0.spr	\image\item\horse\ÉñÊŞ±ÙĞ°a1.spr	<color=gold>ThÇn Thó TŞch Tµ<color><enter>Kim linh h­ëng, ngäc tiªu ng©m, tiªn bİ phôc loan do xu©n th¸n, thÇn c©u hµm miªn no·n phong bµng.	ÉñÊŞ±ÙĞ°	M· Bµi	\script\item\yujian.lua	7	0	1		50000	999
Kú l©n	0	105	30049	1000	0	0	688		state_move_speed_percent_add	800;303				10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	<color=gold>Kú l©n<color><enter>Kú L©n t­îng tr­ng cho may m¾n, tèc ®é di chuyÓn 100%	ÄêÊŞ	M· Bµi	\script\item\horse.lua	3	0			6	
Thá	0	105	30050	100	0	0	2500		state_move_speed_percent_add	800;304				10				\image\item\horse\°×ÍÃ×Ó36lb.spr	\image\item\horse\°×ÍÃ×Ólb120.spr	<color=gold>Thá<color><enter>Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!	ÂÜ²·°×ÍÃ	M· Bµi	\script\item\horse.lua	8	2	1		50000	999
Hoa sen	0	105	30051	0	0	0	2500		state_move_speed_percent_add	800;305				10				\image\item\horse\Á«»¨×ùÀ¶a1.spr	\image\item\horse\Á«»¨×ùÀ¶a0.spr	<color=gold>Hoa sen<color><enter>Khóc Tr¶o Phï Dung ¸nh Tróc Gia, Lôc Hång T­¬ng û ñng V©n Hµ	ÇàÁ«»¨	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
ChiÕn Xa TÇn Thñy Hoµng	0	105	30052	1000	0	0	2500		state_move_speed_percent_add	800;306				10				\image\item\horse\Õ½³µa1.spr	\image\item\horse\Õ½³µa0.spr	<color=gold>ChiÕn Xa TÇn Thñy Hoµng<color><enter>§©y lµ ChiÕn Xa Thñy Hoµng ®­îc t×m thÊy trong lang mé cña TÇn Thñy Hoµng, mét søc m¹nh bİ Èn gióp nã cã thÓ ®i ngµn dÆm trong mét ngµy.	Ê¼»ÊÕ½³µ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
DiÒu Bay	0	105	30053	1000	0	0	2500		state_move_speed_percent_add	800;307				10				\image\item\horse\feiyuana1.spr	\image\item\horse\feiyuana0.spr	<color=gold>DiÒu Bay<color><enter>Tinh hoa c¬ quan thuËt cña nhµ C«ng Th©u.	·Éğ°	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Kim Gi¸p H¾c S¬n	0	105	30054	1000	0	0	2500		state_move_speed_percent_add	800;308				10				\image\item\horse\×øÆïÑò3a1.spr	\image\item\horse\×øÆïÑò3a0.spr	<color=gold>Kim Gi¸p H¾c S¬n<color><enter>TiÕng tï vµ chiÕn ®Êu næi lªn, H¾c S¬n lµ chiÕn sÜ m¹nh nhÊt cña th¶o nguyªn.	½ğ¼×ºÚÉ½	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TiÓu B¹ch D­¬ng	0	105	30055	1000	0	0	2500		state_move_speed_percent_add	800;309				10				\image\item\horse\×øÆïÑò1a1.spr	\image\item\horse\×øÆïÑò1a0.spr	<color=gold>TiÓu B¹ch D­¬ng<color><enter>TiÓu B¹ch D­¬ng lµ mét con dª kiªu ng¹o.	°×ÑòĞ¡ßã	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Long M·	0	105	30056	1000	0	0	2500		state_move_speed_percent_add	800;310				10				\image\item\other\¶À½ÇÊŞ36.spr	\image\item\horse\dujiaoshou1200.spr	<color=gold>Long M·<color><enter>TruyÒn thuyÕt long m· bay lªn mÆt s«ng, th©n mang hµ ®å. Long m· tøc lµ thó mét sõng.	¶À½ÇÊŞ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Liªn Hoa	0	105	30057	0	0	0	2500		state_move_speed_percent_add	800;311				10				\image\item\horse\Á«»¨×ù°×a1.spr	\image\item\horse\Á«»¨×ù°×a0.spr	<color=gold>B¹ch Liªn Hoa<color><enter>B¹ch liªn bÊt nhiÔm trÇn, hîp ch­ëng vi th­¬ng sinh.	°×Á«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Hång Liªn Hoa	0	105	30058	0	0	0	2500		state_move_speed_percent_add	800;312				10				\image\item\horse\Á«»¨×ùºìa1.spr	\image\item\horse\Á«»¨×ùºìa0.spr	<color=gold>Hång Liªn Hoa<color><enter>Hång lien nhiªn tËn xö, nghiÖp háa ®o¹n sinh hån.	ºìÁ«»¨	M· Bµi	\script\item\yujian.lua	4	0	1		50000	999
Tö Liªn Hoa	0	105	30059	0	0	0	2500		state_move_speed_percent_add	800;313				10				\image\item\horse\Á«»¨×ù×Ïa1.spr	\image\item\horse\Á«»¨×ù×Ïa0.spr	<color=gold>Tö Liªn Hoa<color><enter>Tö liªn hËn dao d¹, biÖt thŞ vi t­¬ng t­.	×ÏÁ«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Thá Ngäc BŞ B¾t	0	105	30060	100	0	0	2500		state_move_speed_percent_add	800;314				10			6	\image\item\horse\°×ÍÃ×Ó36lb.spr	\image\item\horse\°×ÍÃ×Ólb120.spr	<color=gold>Thá Ngäc BŞ B¾t<color><enter>Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!	ÂÜ²·°×ÍÃ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Thá ®en bŞ dô b¾t	0	105	30061	100	0	0	2500		state_move_speed_percent_add	800;315				10			6	\image\item\horse\ºÚÍÃ×Ó36lb.spr	\image\item\horse\ºÚÍÃ×Ólb120.spr	<color=gold>Thá ®en bŞ dô b¾t<color><enter>Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!	ÂÜ²·ºÚÍÃ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Thá Hoa BŞ B¾t	0	105	30062	100	0	0	2500		state_move_speed_percent_add	800;316				10			6	\image\item\horse\»¨ÍÃ×Ó36lb.spr	\image\item\horse\»¨ÍÃ×Ólb120.spr	<color=gold>Thá Hoa BŞ B¾t<color><enter>Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!	ÂÜ²·»¨ÍÃ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Kim Kú L©n-§Ñp	0	105	30100	1000	0	0	800		state_move_speed_percent_add	800;317				110				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	<color=gold>Kim Kú L©n-§Ñp<color><enter>Kim Kú L©n, t­îng tr­ng phó quı, giµu sang, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi.	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Thñy Kú L©n-§Ñp	0	105	30101	1000	0	0	800		state_move_speed_percent_add	800;318				110				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	<color=gold>Thñy Kú L©n-§Ñp<color><enter>Thñy Kú L©n, t­îng tr­ng hßa b×nh, thŞnh v­îng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Ngäc Kú L©n-§Ñp	0	105	30102	1000	0	0	800		state_move_speed_percent_add	800;319				110				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	<color=gold>Ngäc Kú L©n-§Ñp<color><enter>Ngäc Kú L©n, t­îng tr­ng cao nh·, may m¾n, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Háa Kú L©n-§Ñp	0	105	30103	1000	0	0	800		state_move_speed_percent_add	800;320				110				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	<color=gold>Háa Kú L©n-§Ñp<color><enter>Háa Kú L©n, t­îng tr­ng qu©n uy, quyÒn lùc, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Cæ D­¬ng Thó-§Ñp	0	105	30104	1000	0	0	800		state_move_speed_percent_add	800;321				110				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	<color=gold>Cæ D­¬ng Thó-§Ñp<color><enter>Cæ D­¬ng Thó, linh thó truyÒn thuyÕt trong Cæ D­¬ng §éng víi søc m¹nh khuynh ®¶o thÇn th«ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Bß L«ng Vµng-§Ñp	0	105	30105	1000	0	0	800		state_move_speed_percent_add	800;322				110				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	<color=gold>Bß L«ng Vµng-§Ñp<color><enter>Kim Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hoang hoµng kim, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Bß L«ng §á-§Ñp	0	105	30106	1000	0	0	800		state_move_speed_percent_add	800;323				110				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	<color=gold>Bß L«ng §á-§Ñp<color><enter>Hång Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hång háa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Bß L«ng Lam-§Ñp	0	105	30107	1000	0	0	800		state_move_speed_percent_add	800;324				110				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	<color=gold>Bß L«ng Lam-§Ñp<color><enter>Lam Mao Ng­u, th©n phñ l«ng mao lam h¶i, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Hæ Tr¾ng-§Ñp	0	105	30108	1000	0	0	800		state_move_speed_percent_add	800;325				110				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	<color=gold>Hæ Tr¾ng-§Ñp<color><enter>Hæ Tr¾ng, tr©n thó quı hiÕm thÕ gian khã gÆp, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Hæ Vµng-§Ñp	0	105	30109	1000	0	0	800		state_move_speed_percent_add	800;326				110				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	<color=gold>Hæ Vµng-§Ñp<color><enter>Hæ Vµng, chóa tÓ s¬n l©m, v¹n thó chi v­¬ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Hæ §en-§Ñp	0	105	30110	1000	0	0	800		state_move_speed_percent_add	800;327				110				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	<color=gold>Hæ §en-§Ñp<color><enter>Hæ §en, th­îng cæ thÇn thó bŞ Hæ ThÇn ®µy ¶i ®Şa giíi, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
B¸o Tr¾ng-§Ñp	0	105	30111	1000	0	0	800		state_move_speed_percent_add	800;328				110				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	<color=gold>B¸o Tr¾ng-§Ñp<color><enter>B¸o Tr¾ng, chóa tÓ vïng nói tuyÕt l«ng vò tr¾ng xãa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
B¸o §en-§Ñp	0	105	30112	1000	0	0	800		state_move_speed_percent_add	800;329				110				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	<color=gold>B¸o §en-§Ñp<color><enter>B¸o §en, ®en nh­ mùc nhung, tèc ®é kinh ng­êi,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
B¸o Vµng-§Ñp	0	105	30113	1000	0	0	800		state_move_speed_percent_add	800;330				110				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	<color=gold>B¸o Vµng-§Ñp<color><enter>Kim TiÒn B¸o, sinh sèng t¹i c¸c vïng nói s©u th¼m hoang s¬, uy dòng phi th­êng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
¤ V©n §¹p TuyÕt-§Ñp	0	105	30114	1000	0	0	800		state_move_speed_percent_add	800;331				110				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	<color=gold>¤ V©n §¹p TuyÕt-§Ñp<color><enter>¤ V©n §¹p TuyÕt, th©n ®en vã b¹c, di chuyÓn tùa TuyÕt §iÓu Xuyªn V©n,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Thó Mét Sõng-§Ñp	0	105	30115	1000	0	0	800		state_move_speed_percent_add	800;332				110				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	<color=gold>Thó Mét Sõng-§Ñp<color><enter>§éc Gi¸c Thó, thÇn thó xinh ®Ñp thuÇn khiÕt, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
BĞ Kim Kú L©n-§Ñp	0	105	30116	1000	0	0	2500		state_move_speed_percent_add	800;333				10				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	<color=gold>BĞ Kim Kú L©n-§Ñp<color><enter>Kim Kú L©n B¶o B¶o	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Thñy Kú L©n-§Ñp	0	105	30117	1000	0	0	2500		state_move_speed_percent_add	800;334				10				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	<color=gold>BĞ Thñy Kú L©n-§Ñp<color><enter>Thñy Kú L©n  B¶o B¶o	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Ngäc Kú L©n-§Ñp	0	105	30118	1000	0	0	2500		state_move_speed_percent_add	800;335				10				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	<color=gold>BĞ Ngäc Kú L©n-§Ñp<color><enter>Ngäc Kú L©n  B¶o B¶o	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Háa Kú L©n-§Ñp	0	105	30119	1000	0	0	2500		state_move_speed_percent_add	800;336				10				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	<color=gold>BĞ Háa Kú L©n-§Ñp<color><enter>Háa Kú L©n  B¶o B¶o	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Cæ D­¬ng Thó-§Ñp	0	105	30120	1000	0	0	2500		state_move_speed_percent_add	800;337				10				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	<color=gold>BĞ Cæ D­¬ng Thó-§Ñp<color><enter>Cæ D­¬ng Thó  B¶o B¶o	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Bß L«ng Vµng-§Ñp	0	105	30121	1000	0	0	2500		state_move_speed_percent_add	800;338				10				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	<color=gold>BĞ Bß L«ng Vµng-§Ñp<color><enter>Kim Mao Ng­u B¶o B¶o	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Bß L«ng §á-§Ñp	0	105	30122	1000	0	0	2500		state_move_speed_percent_add	800;339				10				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	<color=gold>BĞ Bß L«ng §á-§Ñp<color><enter>Hång Mao Ng­u B¶o B¶o	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Bß L«ng Lam-§Ñp	0	105	30123	1000	0	0	2500		state_move_speed_percent_add	800;340				10				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	<color=gold>BĞ Bß L«ng Lam-§Ñp<color><enter>Lam Mao Ng­u B¶o B¶o	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
