Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
To¸i NguyÖt ¸m Kh¾c	0	117	4181	0	0	3	10						1018	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	D­¬ng Gia Cung kş - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	18		999
§éc Chu ¸m Kh¾c	0	117	4201	0	0	4	10						1020	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	Ngò §éc Tµ HiÖp - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	20		999
HuyÕt C¸p ¸m Kh¾c	0	117	4211	0	0	5	10						1021	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	Ngò §éc Cæ S­ - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	21		999
VÊn Thiªn ¸m Kh¾c	0	117	4231	0	0	1	10						1023	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	C«n Lu©n Thiªn S­ - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	23		999
ChiÕn Hån ¸m Kh¾c	0	117	4251	0	0	2	10						1025	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	25		999
Häa Lao ¸m Kh¾c	0	117	4261	0	0	3	10						1026	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	Minh Gi¸o TrËn Binh - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	26		999
HuyÕt KhÕ ¸m Kh¾c	0	117	4271	0	0	4	10						1027	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	27		999
Kinh Hång ¸m Kh¾c	0	117	4291	0	0	5	10						1029	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	Thóy Yªn Vò Tiªn - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	29		999
L­u Ph­¬ng ¸m Kh¾c	0	117	4301	0	0	1	10						1030	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	Thóy Yªn Linh N÷ - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	30		999
Tr¶m ¸c ¸m Kh¾c	0	117	4311	0	0	2	10						1031	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	§­êng M«n NhËm HiÖp - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	31		999
KiÕm Duyªn ¸m Kh¾c	0	117	4321	0	0	3	10						1032	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	C«n L«n KiÕm T«n - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	32		999
Kİnh Minh Thiªn V¨n	0	116	5020	0	0	1	10						1602	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·a0.spr	ThiÕu L©m Tôc Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	2		999
Kİnh T©m Thiªn V¨n	0	116	5030	0	0	2	10						1603	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·b1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·b0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	3		999
Kİnh Thİnh Thiªn V¨n	0	116	5040	0	0	3	10						1604	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·c1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·c0.spr	ThiÕu L©m Vâ T«ng - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	4		999
Thiªn C¬ Thiªn V¨n	0	116	5060	0	0	4	10						1606	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·d1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·d0.spr	§­êng M«n - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	6		999
Kiªm Gia Thiªn V¨n	0	116	5080	0	0	5	10						1608	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·e1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·e0.spr	Nga Mi PhËt Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	8		999
H¹m §¹m Thiªn V¨n	0	116	5090	0	0	1	10						1609	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·a0.spr	Nga Mi Tôc Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	9		999
Hµn S¬n Thiªn V¨n	0	116	5110	0	0	2	10						1611	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·b1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·b0.spr	C¸i Bang TŞnh y - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	11		999
Truy Hån Thiªn V¨n	0	116	5120	0	0	3	10						1612	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·c1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·c0.spr	C¸i Bang ¤ y - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	12		999
Th­¬ng H¶i Thiªn V¨n	0	116	5140	0	0	4	10						1614	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·d1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·d0.spr	Vâ §ang §¹o Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		5	1	1	14		999
§oan TŞnh Thiªn V¨n	0	116	5150	0	0	5	10						1615	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·e1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·e0.spr	Vâ §ang Tôc Gia - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	15		999
Lang Phong Thiªn V¨n	0	116	5170	0	0	1	10						1617	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	17		999
Hoang Yªn Thiªn V¨n	0	116	5180	0	0	2	10						1618	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·b1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·b0.spr	D­¬ng Gia Cung kş - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	18		999
Ngäc ThiÒm Thiªn V¨n	0	116	5200	0	0	3	10						1620	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·c1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·c0.spr	Ngò §éc Tµ HiÖp - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	20		999
PhÖ T©m Thiªn V¨n	0	116	5210	0	0	4	10						1621	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·d1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·d0.spr	Ngò §éc Cæ S­ - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	21		999
B·o Ngäc Thiªn V¨n	0	116	5230	0	0	5	10						1623	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·e1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·e0.spr	C«n Lu©n Thiªn S­ - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	23		999
DuÖ Kim Thiªn V¨n	0	116	5250	0	0	1	10						1625	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	25		999
HËu Thæ Thiªn V¨n	0	116	5260	0	0	2	10						1626	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·b1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·b0.spr	Minh Gi¸o TrËn Binh - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	26		999
Hµn Miªn Thiªn V¨n	0	116	5270	0	0	3	10						1627	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·c1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·c0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	27		999
TrÇn H­¬ng Thiªn V¨n	0	116	5290	0	0	4	10						1629	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·d1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·d0.spr	Thóy Yªn Vò Tiªn - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	29		999
Tiªn S¬ Thiªn V¨n	0	116	5300	0	0	5	10						1630	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·e1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·e0.spr	Thóy Yªn Linh N÷ - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	30		999
T©n §é Thiªn V¨n	0	116	5310	0	0	1	10						1631	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·a0.spr	§­êng M«n NhËm HiÖp - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	31		999
Du Quan Thiªn V¨n	0	116	5320	0	0	2	10						1632	95				\image\item\wenshi\5¼¶ÎÆÊÎÍ·b1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·b0.spr	C«n L«n KiÕm T«n - v¨n søc ®Çu cÊp 5		V¨n Søc-®Çu		5	1	1	32		999
Kİnh Minh ChiÕn V¨n	0	113	5020	0	0	5	10						1602	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂe0.spr	ThiÕu L©m Tôc Gia - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	2		999
Kİnh T©m ChiÕn V¨n	0	113	5030	0	0	1	10						1603	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂa0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	3		999
Kİnh Thİnh ChiÕn V¨n	0	113	5040	0	0	2	10						1604	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂb0.spr	ThiÕu L©m Vâ T«ng - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	4		999
Thiªn C¬ ChiÕn V¨n	0	113	5060	0	0	3	10						1606	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂc0.spr	§­êng M«n - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	6		999
Kiªm Gia ChiÕn V¨n	0	113	5080	0	0	4	10						1608	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂd0.spr	Nga Mi PhËt Gia - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	8		999
H¹m §¹m ChiÕn V¨n	0	113	5090	0	0	5	10						1609	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂe0.spr	Nga Mi Tôc Gia - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	9		999
Hµn S¬n ChiÕn V¨n	0	113	5110	0	0	1	10						1611	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂa0.spr	C¸i Bang TŞnh y - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	11		999
Truy Hån ChiÕn V¨n	0	113	5120	0	0	2	10						1612	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂb0.spr	C¸i Bang ¤ y - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	12		999
Th­¬ng H¶i ChiÕn V¨n	0	113	5140	0	0	3	10						1614	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂc0.spr	Vâ §ang §¹o Gia - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	14		999
§oan TŞnh ChiÕn V¨n	0	113	5150	0	0	4	10						1615	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂd0.spr	Vâ §ang Tôc Gia - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	15		999
Lang Phong ChiÕn V¨n	0	113	5170	0	0	5	10						1617	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂe0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	17		999
Hoang Yªn ChiÕn V¨n	0	113	5180	0	0	1	10						1618	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂa0.spr	D­¬ng Gia Cung kş - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	18		999
Ngäc ThiÒm ChiÕn V¨n	0	113	5200	0	0	2	10						1620	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂb0.spr	Ngò §éc Tµ HiÖp - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	20		999
PhÖ T©m ChiÕn V¨n	0	113	5210	0	0	3	10						1621	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂc0.spr	Ngò §éc Cæ S­ - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	21		999
B·o Ngäc ChiÕn V¨n	0	113	5230	0	0	4	10						1623	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂd0.spr	C«n Lu©n Thiªn S­ - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	23		999
DuÖ Kim ChiÕn V¨n	0	113	5250	0	0	5	10						1625	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂe0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	25		999
HËu Thæ ChiÕn V¨n	0	113	5260	0	0	1	10						1626	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂa0.spr	Minh Gi¸o TrËn Binh - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	26		999
Hµn Miªn ChiÕn V¨n	0	113	5270	0	0	2	10						1627	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂb0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	27		999
TrÇn H­¬ng ChiÕn V¨n	0	113	5290	0	0	3	10						1629	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂc0.spr	Thóy Yªn Vò Tiªn - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	29		999
Tiªn S¬ ChiÕn V¨n	0	113	5300	0	0	4	10						1630	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂd0.spr	Thóy Yªn Linh N÷ - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	30		999
T©n §é ChiÕn V¨n	0	113	5310	0	0	5	10						1631	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂe0.spr	§­êng M«n NhËm HiÖp - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	31		999
Du Quan ChiÕn V¨n	0	113	5320	0	0	1	10						1632	95				\image\item\wenshi\5¼¶ÎÆÊÎÒÂa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂa0.spr	C«n L«n KiÕm T«n - v¨n søc th­îng y cÊp 5		V¨n Søc-y		5	1	1	32		999
Kİnh Minh HuyÒn V¨n	0	114	5020	0	0	4	10						1602	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd0.spr	ThiÕu L©m Tôc Gia - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	2		999
Kİnh T©m HuyÒn V¨n	0	114	5030	0	0	5	10						1603	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	3		999
Kİnh Thİnh HuyÒn V¨n	0	114	5040	0	0	1	10						1604	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa0.spr	ThiÕu L©m Vâ T«ng - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	4		999
Thiªn C¬ HuyÒn V¨n	0	114	5060	0	0	2	10						1606	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb0.spr	§­êng M«n - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	6		999
Kiªm Gia HuyÒn V¨n	0	114	5080	0	0	3	10						1608	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc0.spr	Nga Mi PhËt Gia - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	8		999
H¹m §¹m HuyÒn V¨n	0	114	5090	0	0	4	10						1609	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd0.spr	Nga Mi Tôc Gia - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	9		999
Hµn S¬n HuyÒn V¨n	0	114	5110	0	0	5	10						1611	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe0.spr	C¸i Bang TŞnh y - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	11		999
Truy Hån HuyÒn V¨n	0	114	5120	0	0	1	10						1612	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa0.spr	C¸i Bang ¤ y - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	12		999
Th­¬ng H¶i HuyÒn V¨n	0	114	5140	0	0	2	10						1614	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb0.spr	Vâ §ang §¹o Gia - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	14		999
§oan TŞnh HuyÒn V¨n	0	114	5150	0	0	3	10						1615	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc0.spr	Vâ §ang Tôc Gia - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	15		999
Lang Phong HuyÒn V¨n	0	114	5170	0	0	4	10						1617	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	17		999
Hoang Yªn HuyÒn V¨n	0	114	5180	0	0	5	10						1618	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe0.spr	D­¬ng Gia Cung kş - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	18		999
Ngäc ThiÒm HuyÒn V¨n	0	114	5200	0	0	1	10						1620	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa0.spr	Ngò §éc Tµ HiÖp - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	20		999
PhÖ T©m HuyÒn V¨n	0	114	5210	0	0	2	10						1621	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb0.spr	Ngò §éc Cæ S­ - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	21		999
B·o Ngäc HuyÒn V¨n	0	114	5230	0	0	3	10						1623	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc0.spr	C«n Lu©n Thiªn S­ - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	23		999
DuÖ Kim HuyÒn V¨n	0	114	5250	0	0	4	10						1625	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	25		999
HËu Thæ HuyÒn V¨n	0	114	5260	0	0	5	10						1626	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe0.spr	Minh Gi¸o TrËn Binh - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	26		999
Hµn Miªn HuyÒn V¨n	0	114	5270	0	0	1	10						1627	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	27		999
TrÇn H­¬ng HuyÒn V¨n	0	114	5290	0	0	2	10						1629	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb0.spr	Thóy Yªn Vò Tiªn - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	29		999
Tiªn S¬ HuyÒn V¨n	0	114	5300	0	0	3	10						1630	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc0.spr	Thóy Yªn Linh N÷ - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	30		999
T©n §é HuyÒn V¨n	0	114	5310	0	0	4	10						1631	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd0.spr	§­êng M«n NhËm HiÖp - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	31		999
Du Quan HuyÒn V¨n	0	114	5320	0	0	5	10						1632	95				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe0.spr	C«n L«n KiÕm T«n - v¨n søc h¹ trang cÊp 5		V¨n Søc-Trang		5	1	1	32		999
Kİnh Minh Minh §iªu	0	115	5020	0	0	3	10						1602	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	ThiÕu L©m Tôc Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	2		999
Kİnh T©m Minh §iªu	0	115	5030	0	0	4	10						1603	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	3		999
Kİnh Thİnh Minh §iªu	0	115	5040	0	0	5	10						1604	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	4		999
Thiªn C¬ Minh §iªu	0	115	5060	0	0	1	10						1606	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	§­êng M«n - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	6		999
Kiªm Gia Minh §iªu	0	115	5080	0	0	2	10						1608	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	Nga Mi PhËt Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	8		999
H¹m §¹m Minh §iªu	0	115	5090	0	0	3	10						1609	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	Nga Mi Tôc Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	9		999
